# step Etot Epot T p 
491 -6168.284 -6168.284 0.0 -2039.8124 
492 -6151.639 -6151.639 0.0 -2352.4355 
493 -6169.2858 -6169.2858 0.0 -1964.2246 
494 -6169.2774 -6169.2774 0.0 -1971.2621 
495 -6169.2861 -6169.2861 0.0 -1964.9278 
496 -6169.2861 -6169.2861 0.0 -1964.8447 
497 -6169.2861 -6169.2861 0.0 -1964.9278 
498 -6173.0721 -6173.0721 0.0 -1724.7236 
499 -6156.7905 -6156.7905 0.0 -1602.3009 
500 -6174.0234 -6174.0234 0.0 -1786.1896 
501 -6174.0138 -6174.0138 0.0 -1779.5145 
502 -6174.0233 -6174.0233 0.0 -1785.5172 
503 -6174.0235 -6174.0235 0.0 -1786.0654 
504 -6175.3152 -6175.3152 0.0 -1932.3926 
505 -6149.7499 -6149.7499 0.0 -2206.803 
506 -6177.9787 -6177.9787 0.0 -1849.6293 
507 -6177.9534 -6177.9534 0.0 -1856.6699 
508 -6177.9785 -6177.9785 0.0 -1850.3191 
